OBJECTID,top_height_m,base_height_m,storeys,building_height_m
43648,20.2,7.2,4.0,13.0
43649,20.2,7.2,4.0,13.0
43650,20.2,7.2,4.0,13.0
43651,20.2,7.2,4.0,13.0
43652,20.2,7.2,4.0,13.0
43653,20.2,7.2,4.0,13.0
43654,20.2,7.2,4.0,13.0
43655,20.2,7.2,4.0,13.0
43656,20.2,7.2,4.0,13.0
43657,20.2,7.2,4.0,13.0
43658,20.2,7.2,4.0,13.0
43659,20.2,7.2,4.0,13.0
43660,20.2,7.2,4.0,13.0
43661,20.2,7.2,4.0,13.0
43662,20.2,7.2,4.0,13.0
43663,20.2,7.2,4.0,13.0
43664,20.2,7.2,4.0,13.0
43665,20.2,7.2,4.0,13.0
43666,20.2,7.2,4.0,13.0
43667,20.2,7.2,4.0,13.0
43668,20.2,7.2,4.0,13.0
43669,20.2,7.2,4.0,13.0
43670,20.2,7.2,4.0,13.0
43672,20.2,7.2,4.0,13.0
43673,20.2,7.2,4.0,13.0
43674,20.2,7.2,4.0,13.0
43675,20.2,7.2,4.0,13.0
43676,20.2,7.2,4.0,13.0
43677,20.2,7.2,4.0,13.0
43678,20.2,7.2,4.0,13.0
43679,20.2,7.2,4.0,13.0
43680,20.2,7.2,4.0,13.0
43681,20.2,7.2,4.0,13.0
43682,20.2,7.2,4.0,13.0
43683,20.2,7.2,4.0,13.0
43684,20.2,7.2,4.0,13.0
43685,20.0,7.2,4.0,12.8
43686,20.2,7.2,4.0,13.0
43687,20.2,7.2,4.0,13.0
43688,20.2,7.2,4.0,13.0
43689,20.2,7.2,4.0,13.0
43690,20.2,7.2,4.0,13.0
46722,124.5,7.4,32.0,117.1
46723,124.6,7.4,32.0,117.19999999999999
46724,23.5,5.5,4.0,18.0
46725,23.5,5.5,4.0,18.0
46726,124.3,23.5,32.0,100.8
46727,124.3,23.5,32.0,100.8
46728,23.5,6.4,4.0,17.1
46729,124.3,23.5,32.0,100.8
46730,124.6,23.5,32.0,101.1
46731,21.0,7.6,4.0,13.4
46732,21.0,7.6,4.0,13.4
46733,20.8,7.6,4.0,13.200000000000001
46736,17.5,7.6,3.0,9.9
46737,17.5,7.6,3.0,9.9
46738,17.5,7.6,3.0,9.9
46739,17.5,7.6,3.0,9.9
46740,17.5,7.6,3.0,9.9
46741,17.5,7.6,3.0,9.9
47021,15.3,5.6,3.0,9.700000000000001
47022,95.4,13.6,26.0,81.80000000000001
47023,95.6,5.6,29.0,90.0
47024,95.5,15.3,26.0,80.2
47025,13.6,6.4,3.0,7.199999999999999
47026,13.6,6.4,3.0,7.199999999999999
47027,13.6,6.4,3.0,7.199999999999999
47055,13.2,5.6,3.0,7.6
47056,95.5,13.2,26.0,82.3
47057,95.4,13.2,26.0,82.2
48639,52.1,5.9,2.0,46.2
